2020-03-13,3,Bursa Malaysia Construction  Stocks,539881,GAMUDA-C81,0.045,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,539882,GAMUDA-C82,0.040,0.035,0.035,-0.005,-12.50,800
2020-03-13,3,Bursa Malaysia Construction  Stocks,539883,GAMUDA-C83,0.150,0.160,0.170,+0.020,+13.33,24,000
2020-03-13,3,Bursa Malaysia Construction  Stocks,5398WE,GAMUDA-WE,0.185,0.175,0.160,-0.025,-13.51,57,501
2020-03-13,3,Bursa Malaysia Construction  Stocks,5226,GBGAQRS,1.050,1.040,1.010,-0.040,-3.81,12,066
2020-03-13,3,Bursa Malaysia Construction  Stocks,5226WB,GBGAQRS-WB,0.235,0.220,0.220,-0.015,-6.38,3,100
2020-03-13,3,Bursa Malaysia Construction  Stocks,0198,GDB,0.680,0.660,0.640,-0.040,-5.88,48,231
2020-03-13,3,Bursa Malaysia Construction  Stocks,3204,GKENT,0.780,0.770,0.730,-0.050,-6.41,9,899
2020-03-13,3,Bursa Malaysia Construction  Stocks,5169,HOHUP,0.460,0.445,0.415,-0.045,-9.78,6,985
2020-03-13,3,Bursa Malaysia Construction  Stocks,6238,HSL,1.210,1.210,1.210,0.000,0.00,1,143
2020-03-13,3,Bursa Malaysia Construction  Stocks,3336,IJM,1.860,1.850,1.770,-0.090,-4.84,89,807
2020-03-13,3,Bursa Malaysia Construction  Stocks,333628,IJM-C28,0.010,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,333629,IJM-C29,0.005,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,333633,IJM-C33,0.005,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,333634,IJM-C34,0.045,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,333635,IJM-C35,0.075,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,333636,IJM-C36,0.040,0.025,0.025,-0.015,-37.50,580
2020-03-13,3,Bursa Malaysia Construction  Stocks,333637,IJM-C37,0.055,0.060,0.055,0.000,0.00,2,800
2020-03-13,3,Bursa Malaysia Construction  Stocks,5268,IKHMAS,0.020,0.020,0.020,0.000,0.00,24,385
2020-03-13,3,Bursa Malaysia Construction  Stocks,0192,INTA,0.230,0.230,0.225,-0.005,-2.17,5,400
2020-03-13,3,Bursa Malaysia Construction  Stocks,8834,IREKA,0.390,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,4723,JAKS,1.050,0.985,0.870,-0.180,-17.14,882,187
2020-03-13,3,Bursa Malaysia Construction  Stocks,4723WB,JAKS-WB,0.760,0.730,0.595,-0.165,-21.71,23,687
2020-03-13,3,Bursa Malaysia Construction  Stocks,7161,KERJAYA,1.210,1.160,1.180,-0.030,-2.48,1,732
2020-03-13,3,Bursa Malaysia Construction  Stocks,7161CL,KERJAYA-CL,0.010,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,7161CM,KERJAYA-CM,0.150,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,7161WB,KERJAYA-WB,0.185,0.145,0.165,-0.020,-10.81,1,701
2020-03-13,3,Bursa Malaysia Construction  Stocks,5171,KIMLUN,0.935,0.920,0.880,-0.055,-5.88,4,449
2020-03-13,3,Bursa Malaysia Construction  Stocks,5171WA,KIMLUN-WA,0.240,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,9628,LEBTECH,0.950,0.000,0.000,0.000,0.00,0
